DataTime,t_Envir,t_Request_AntColumn,t_Exit_AntColumn,t_Probe_AntColumn,t_Request_PostColumn,t_Exit_PostColumn,t_Probe_PostColumn,t_Request_Pallet_CU,t_Exit_Pallet_CU,t_Probe_Pallet_CU,t_Request_Pallet_QE,t_Exit_Pallet_QE,t_Probe_Pallet_QE
2021-07-05 14:38:34,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:34,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:39:01,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:39:04,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:39:05,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:39:09,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:39:11,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:39:12,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:41:01,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:43:01,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:45:01,25.8,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:47:01,25.9,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:49:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:51:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:53:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:55:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:57:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:59:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:01:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:03:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:05:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:07:01,25.9,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:09:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:11:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:13:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:15:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:17:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:19:01,25.9,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:21:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:23:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:25:01,25.9,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:27:01,25.9,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:29:01,25.9,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:31:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:33:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:35:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:37:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:39:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:41:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:43:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:45:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:47:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:48:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:50:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:52:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:54:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:56:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 15:58:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:00:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:02:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:04:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:06:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:08:01,26.2,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:10:01,26.2,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:12:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:14:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:16:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:18:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:20:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:22:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:24:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:26:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:28:01,26.1,20,20,22,20,20,20,20,20,22,20,20,22
2021-07-05 16:30:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:32:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 16:34:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:36:01,26.1,20,20,22,20,20,20,20,20,23,20,20,22
2021-07-05 16:38:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:40:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:42:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:44:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:46:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:48:01,26.2,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:50:01,26.2,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:52:01,26.2,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:54:01,26.2,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:56:01,26.2,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 16:58:01,26.2,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 17:00:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 17:02:01,26.2,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 17:04:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 17:06:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 17:08:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 17:13:01,26.3,20,20,22,20,20,20,20,20,23,20,20,24
2021-07-05 17:15:01,26.3,20,20,22,20,20,20,20,20,23,20,20,24
2021-07-05 17:17:01,26.4,20,20,22,20,20,20,20,20,23,20,20,24
2021-07-05 17:19:01,26.4,20,20,23,20,20,20,20,20,23,20,20,24
2021-07-05 17:33:01,26.9,20,20,24,20,20,20,20,20,23,20,20,24
2021-07-05 17:43:01,26.8,20,20,24,20,20,20,20,20,23,20,20,23
2021-07-05 17:53:01,26.4,20,20,23,20,20,20,20,20,23,20,20,23
2021-07-05 18:03:01,26.3,20,20,23,20,20,20,20,20,23,20,20,23
2021-07-05 18:13:01,26.2,20,20,23,20,20,20,20,20,23,20,20,23
2021-07-05 18:23:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 18:33:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 18:43:01,26.0,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 18:53:01,26.1,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 19:03:01,26.0,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 19:13:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 19:23:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 19:33:01,26.1,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 19:43:01,26.0,20,20,22,20,20,20,20,20,23,20,20,23
2021-07-05 19:53:01,25.9,20,20,22,20,20,20,20,20,23,20,20,23
